CMDLINE python3 adjoint.py
MEM 589.734375 1738751477.6650
MEM 589.765625 1738751477.7702
MEM 589.765625 1738751477.8753
MEM 589.781250 1738751477.9804
MEM 589.812500 1738751478.0856
MEM 589.828125 1738751478.1907
MEM 589.828125 1738751478.2959
MEM 589.828125 1738751478.4010
MEM 589.828125 1738751478.5062
MEM 589.828125 1738751478.6114
MEM 590.421875 1738751478.7165
MEM 590.531250 1738751478.8199
MEM 590.703125 1738751478.9250
MEM 590.703125 1738751479.0301
MEM 590.734375 1738751479.1353
MEM 590.750000 1738751479.2404
MEM 590.765625 1738751479.3455
MEM 590.796875 1738751479.4507
MEM 590.796875 1738751479.5559
MEM 590.796875 1738751479.6610
MEM 590.796875 1738751479.7662
MEM 590.796875 1738751479.8714
MEM 590.843750 1738751479.9765
MEM 590.843750 1738751480.0816
MEM 591.078125 1738751480.1868
MEM 591.078125 1738751480.2919
MEM 591.109375 1738751480.3971
MEM 591.109375 1738751480.5022
MEM 591.109375 1738751480.6073
MEM 591.093750 1738751480.7124
MEM 591.062500 1738751480.8166
MEM 591.062500 1738751480.9218
MEM 591.062500 1738751481.0269
MEM 591.062500 1738751481.1321
MEM 591.093750 1738751481.2372
MEM 591.140625 1738751481.3424
MEM 591.343750 1738751481.4475
MEM 591.375000 1738751481.5527
MEM 591.406250 1738751481.6578
MEM 591.421875 1738751481.7630
MEM 591.421875 1738751481.8681
MEM 591.500000 1738751481.9733
MEM 591.500000 1738751482.0735
MEM 591.468750 1738751482.1786
MEM 591.468750 1738751482.2838
MEM 591.468750 1738751482.3890
MEM 591.468750 1738751482.4941
MEM 591.500000 1738751482.5993
MEM 591.546875 1738751482.7043
MEM 591.687500 1738751482.8095
MEM 591.718750 1738751482.9146
MEM 591.718750 1738751483.0197
MEM 591.718750 1738751483.1248
MEM 591.687500 1738751483.2299
MEM 591.656250 1738751483.3350
MEM 591.718750 1738751483.4402
MEM 591.718750 1738751483.5418
MEM 591.718750 1738751483.6469
MEM 591.718750 1738751483.7521
MEM 591.718750 1738751483.8573
MEM 591.718750 1738751483.9624
MEM 591.718750 1738751484.0676
MEM 591.718750 1738751484.1728
MEM 591.718750 1738751484.2779
MEM 591.718750 1738751484.3830
MEM 591.718750 1738751484.4882
MEM 591.687500 1738751484.5934
MEM 591.656250 1738751484.6986
MEM 591.656250 1738751484.8038
MEM 591.656250 1738751484.9090
MEM 591.656250 1738751485.0142
MEM 591.656250 1738751485.1194
MEM 591.656250 1738751485.2245
MEM 591.656250 1738751485.3297
MEM 591.656250 1738751485.4349
MEM 591.656250 1738751485.5401
MEM 591.656250 1738751485.6452
MEM 591.656250 1738751485.7504
MEM 591.656250 1738751485.8555
MEM 591.625000 1738751485.9607
MEM 591.593750 1738751486.0659
MEM 591.593750 1738751486.1711
MEM 591.593750 1738751486.2762
MEM 591.593750 1738751486.3786
MEM 591.593750 1738751486.4838
MEM 591.593750 1738751486.5863
MEM 591.593750 1738751486.6916
MEM 591.593750 1738751486.7967
MEM 591.593750 1738751486.8993
MEM 591.593750 1738751487.0038
MEM 591.593750 1738751487.1090
MEM 591.593750 1738751487.2141
MEM 591.593750 1738751487.3193
MEM 591.593750 1738751487.4202
MEM 591.593750 1738751487.5254
MEM 591.593750 1738751487.6305
MEM 591.593750 1738751487.7357
MEM 591.593750 1738751487.8409
MEM 591.593750 1738751487.9461
MEM 591.593750 1738751488.0512
MEM 591.593750 1738751488.1563
MEM 591.703125 1738751488.2615
MEM 591.703125 1738751488.3666
MEM 591.703125 1738751488.4718
MEM 591.750000 1738751488.5769
MEM 591.765625 1738751488.6821
MEM 591.765625 1738751488.7859
MEM 591.765625 1738751488.8911
MEM 591.765625 1738751488.9962
MEM 591.781250 1738751489.1013
MEM 591.968750 1738751489.2064
MEM 591.968750 1738751489.3115
MEM 591.968750 1738751489.4166
MEM 591.968750 1738751489.5204
MEM 591.968750 1738751489.6255
MEM 592.046875 1738751489.7261
MEM 592.078125 1738751489.8313
MEM 592.078125 1738751489.9365
MEM 592.078125 1738751490.0416
MEM 592.171875 1738751490.1467
MEM 592.265625 1738751490.2519
