CMDLINE python3 adjoint.py
MEM 470.578125 1738750456.2691
MEM 470.625000 1738750456.3741
MEM 471.312500 1738750456.4757
MEM 471.312500 1738750456.5807
MEM 471.250000 1738750456.6858
MEM 471.281250 1738750456.7908
MEM 471.390625 1738750456.8937
MEM 472.500000 1738750456.9988
MEM 473.343750 1738750457.1038
MEM 473.343750 1738750457.2089
MEM 473.343750 1738750457.3139
MEM 473.343750 1738750457.4189
MEM 473.343750 1738750457.5240
MEM 473.390625 1738750457.6290
MEM 473.437500 1738750457.7341
MEM 473.437500 1738750457.8391
MEM 473.437500 1738750457.9441
MEM 473.453125 1738750458.0492
MEM 473.453125 1738750458.1542
MEM 473.453125 1738750458.2592
MEM 473.578125 1738750458.3643
MEM 473.640625 1738750458.4693
MEM 473.718750 1738750458.5744
MEM 473.843750 1738750458.6794
MEM 473.921875 1738750458.7844
MEM 474.062500 1738750458.8894
MEM 474.109375 1738750458.9925
MEM 474.265625 1738750459.0975
MEM 474.265625 1738750459.2025
MEM 474.265625 1738750459.3076
MEM 474.265625 1738750459.4126
MEM 474.265625 1738750459.5176
MEM 474.265625 1738750459.6227
MEM 474.265625 1738750459.7277
MEM 474.218750 1738750459.8327
MEM 474.156250 1738750459.9379
MEM 474.125000 1738750460.0393
MEM 474.328125 1738750460.1444
MEM 474.390625 1738750460.2495
MEM 474.468750 1738750460.3544
MEM 474.500000 1738750460.4592
MEM 474.468750 1738750460.5643
MEM 474.484375 1738750460.6693
MEM 474.593750 1738750460.7743
MEM 474.593750 1738750460.8794
